SNP_model_trait_env,MAF_full_population,MAF_S.integrifolium_genets,MAF_wild_genets,MAF_breeding_genets
Chr02_8270811.BLINK.hit_og,0.49726776,0.480769231,0.49726776,NA
Chr02_892024560.FarmCPU.ai_summer_mean,0.02185792,0.022435897,0.021857923,NA
Chr02_943391404.FarmCPU.snh_comb,0.02888889,0.033854167,0,0.133333333
Chr02_95887139.FarmCPU.ray_floret_count_comb,0.01956522,0.02284264,0.011173184,0.054347826
Chr02_960816253.FarmCPU.rd_comb,0.237777778,0.255208333,0.159090909,0.488888889
Chr03_100970385.FarmCPU.rd_comb,0.202222222,0.213541667,0.142045455,0.422222222
Chr03_234249995.FarmCPU.ray_floret_count_al25,0.0255102,0.03030303,0.013605442,0.056818182
Chr03_256618987.BLINK.ray_floret_count_al25,0.04846939,0.051515152,0.013605442,0.159090909
Chr03_337313571.FarmCPU.sm_ks24,0.24747475,0.236842105,0.211038961,0.365853659
Chr03_457678.BLINK.snh_al25,0.2757732,0.291411043,0.229452055,0.420454545
Chr03_702124052.BLINK.ray_floret_count_ks25,0.160194175,0.169444444,0.064417178,0.5
Chr03_721440854.BLINK.ray_floret_count_al25,0.17091837,0.181818182,0.047619048,0.477272727
Chr03_721440854.FarmCPU.rd_ks25,0.15829146,0.167630058,0.047169811,0.418918919
Chr03_78530134.FarmCPU.hit_og,0.03005464,0.028846154,0.030054645,NA
Chr03_78530134.BLINK.hit_og,0.03005464,0.028846154,0.030054645,NA
Chr03_814672955.BLINK.ray_floret_count_ks25,0.218446602,0.227777778,0.190184049,0.325
Chr03_856961603.FarmCPU.hit_og,0.06010929,0.057692308,0.06010929,NA
Chr03_910576785.BLINK.snh_comb,0.05777778,0.065104167,0.034090909,0.122222222
Chr03_910576785.FarmCPU.snh_comb,0.05777778,0.065104167,0.034090909,0.122222222
Chr03_998822908.FarmCPU.sm_comb,0.03663793,0.035175879,0.021978022,0.097826087
Chr04_1010273843.BLINK.snh_comb,0.04444444,0.049479167,0.036931818,0.066666667
Chr04_108260603.FarmCPU.ray_floret_count_comb,0.07391304,0.076142132,0.011173184,0.282608696
Chr04_208177669.FarmCPU.rd_al25,0.13402062,0.101226994,0.116438356,0.193181818
Chr04_222292225.BLINK.ray_floret_count_ks25,0.031553398,0.036111111,0.009202454,0.0875
Chr04_222292225.FarmCPU.ray_floret_count_ks25,0.0315534,0.036111111,0.009202454,0.0875
Chr04_266394599.BLINK.ray_floret_count_ks24,0.04736842,0.047904192,0.006802721,0.170731707
Chr04_341562.FarmCPU.snh_comb,0.16222222,0.177083333,0.15625,0.2
Chr04_405945275.BLINK.sm_comb,0.21336207,0.216080402,0.25,0.065217391
Chr04_465886973.FarmCPU.ray_floret_count_ks24,0.057894737,0.062874251,0.037414966,0.12195122
Chr04_603756119.BLINK.snh_ks25,0.025252525,0.029069767,0.003164557,0.094594595
Chr04_603756119.FarmCPU.snh_ks25,0.025252525,0.029069767,0.003164557,0.094594595
Chr04_616374005.BLINK.snh_al25,0.09793814,0.104294479,0.071917808,0.193181818
Chr04_657063542.FarmCPU.sm_ks24,0.03282828,0.00877193,0.042207792,0
Chr04_682976094.FarmCPU.rd_ks25,0.06281407,0.072254335,0.034591195,0.189189189
Chr04_798558325.BLINK.snh_ks25,0.035353535,0.040697674,0.03164557,0.054054054
Chr04_838966155.FarmCPU.ray_floret_count_comb,0.01956522,0.017766497,0.002793296,0.086956522
Chr04_888202955.FarmCPU.ray_floret_count_al25,0.22193878,0.236363636,0.183673469,0.363636364
Chr05_11691107.FarmCPU.ray_floret_count_comb,0.0173913,0.020304569,0,0.076086957
Chr05_11691107.BLINK.ray_floret_count_comb,0.0173913,0.020304569,0,0.076086957
Chr05_293741746.FarmCPU.rd_ks25,0.10301508,0.10982659,0.047169811,0.337837838
Chr05_348252932.BLINK.snh_comb,0.03555556,0.041666667,0.034090909,0.044444444
Chr05_348252932.FarmCPU.snh_comb,0.03555556,0.041666667,0.034090909,0.044444444
Chr05_376377626.BLINK.snh_al25,0.03350515,0.036809816,0.01369863,0.079545455
Chr05_377296916.BLINK.ray_floret_count_ks24,0.03157895,0.026946108,0.027210884,0.048780488
Chr05_577112303.BLINK.snh_ks25,0.121212121,0.13372093,0.139240506,0.054054054
Chr05_794020568.FarmCPU.ray_floret_count_al25,0.0255102,0.03030303,0,0.079545455
Chr05_794020568.BLINK.ray_floret_count_al25,0.0255102,0.03030303,0,0.079545455
Chr05_794020568.FarmCPU.snh_al25,0.02319588,0.027607362,0,0.079545455
Chr05_795564670.FarmCPU.snh_al25,0.01546392,0.018404908,0,0.056818182
Chr05_801680734.FarmCPU.snh_ks25,0.032828283,0.037790698,0.012658228,0.121621622
Chr05_831132026.BLINK.ray_floret_count_ks25,0.02184466,0.022222222,0,0.1125
Chr05_831132026.FarmCPU.ray_floret_count_ks25,0.02184466,0.022222222,0,0.1125
Chr05_854799713.BLINK.ray_floret_count_ks24,0.03947368,0.041916168,0.020408163,0.109756098
Chr06_182078332.BLINK.sm_comb,0.02155172,0.025125628,0.027472527,0
Chr06_186339353.FarmCPU.snh_al25,0.03092784,0.033742331,0.020547945,0.056818182
Chr06_274305900.FarmCPU.ai_summer_mean,0.11748634,0.128205128,0.117486339,NA
Chr06_274305900.BLINK.ai_summer_mean,0.11748634,0.128205128,0.117486339,NA
Chr06_429804675.FarmCPU.rd_al25,0.32474227,0.340490798,0.287671233,0.420454545
Chr06_46482445.FarmCPU.snh_ks25,0.060606061,0.066860465,0.041139241,0.121621622
Chr06_569475082.BLINK.snh_al25,0.04123711,0.04601227,0.037671233,0.034090909
Chr06_571797272.BLINK.hit_og,0.12295082,0.128205128,0.12295082,NA
Chr06_661364398.BLINK.hit_og,0.05191257,0.057692308,0.051912568,NA
Chr06_685951212.BLINK.hit_og,0.37431694,0.394230769,0.37431694,NA
Chr07_202908763.BLINK.snh_ks25,0.313131313,0.331395349,0.231012658,0.351351351
Chr07_293128097.BLINK.ray_floret_count_ks24,0.06052632,0.062874251,0.030612245,0.158536585
Chr07_293287816.FarmCPU.ray_floret_count_al24,0.02197802,0.02739726,0.014492754,0.047619048
Chr07_476853597.FarmCPU.hit_og,0.03005464,0.028846154,0.030054645,NA
Chr07_5430076.FarmCPU.snh_comb,0.14888889,0.143229167,0.133522727,0.177777778
Chr07_643306799.BLINK.ray_floret_count_ks24,0.07631579,0.071856287,0.074829932,0.085365854
Chr07_90686314.BLINK.snh_al25,0.35824742,0.352760736,0.359589041,0.363636364
