SNP_model_trait_env,p.value_full_population,p.value_S.integrifolium_genets,p.value_wild_genets,p.value_breeding_genets
Chr04_341562.FarmCPU.snh_comb,5.82301E-08,0.751758865,0.117386151,0.187953616
Chr04_405945275.BLINK.sm_comb,2.44342E-09,0.000587141,0.000236021,0.700130082
Chr04_465886973.FarmCPU.ray_floret_count_ks24,3.8924E-08,0.151177392,0.592819369,0.945687454
Chr04_603756119.BLINK.snh_ks25,1.24541E-09,2.67515E-18,0.453143038,0.04884179
Chr04_603756119.FarmCPU.snh_ks25,2.75326E-14,2.49878E-12,0.506566279,0.001759473
Chr04_616374005.BLINK.snh_al25,1.26139E-08,0.325469459,0.131877788,0.594599192
Chr04_657063542.FarmCPU.sm_ks24,2.66434E-10,0.01813534,0.000684179,1
Chr04_682976094.FarmCPU.rd_ks25,3.53131E-11,0.867647112,0.010906041,0.495259363
Chr04_798558325.BLINK.snh_ks25,1.19692E-11,8.53412E-06,2.82939E-06,0.347298427
Chr04_838966155.FarmCPU.ray_floret_count_comb,9.93275E-10,0.281091941,0.141659426,0.23054954
Chr04_888202955.FarmCPU.ray_floret_count_al25,5.33407E-10,0.035280496,0.521207346,0.386389537
Chr05_11691107.FarmCPU.ray_floret_count_comb,1.71952E-16,0.030359245,1,0.361022753
Chr05_11691107.BLINK.ray_floret_count_comb,7.51674E-19,0.164201412,1,0.404994729
Chr05_293741746.FarmCPU.rd_ks25,2.47283E-10,0.193306792,0.281082197,0.058002919
Chr05_348252932.BLINK.snh_comb,8.54374E-13,0.239388536,0.737882761,0.924364398
Chr05_348252932.FarmCPU.snh_comb,8.04439E-08,0.000193831,1.70451E-11,0.68824405
Chr05_376377626.BLINK.snh_al25,1.34989E-12,0.276126709,0.069989841,0.045359673
Chr05_377296916.BLINK.ray_floret_count_ks24,1.89776E-11,0.11066587,0.299183221,0.535399137
Chr05_577112303.BLINK.snh_ks25,4.51176E-09,0.08544024,0.43780577,0.568591972
Chr05_794020568.FarmCPU.ray_floret_count_al25,3.73566E-13,1.55424E-15,1,4.26967E-06
Chr05_794020568.BLINK.ray_floret_count_al25,2.77243E-08,1.50136E-06,1,1.04549E-06
Chr05_794020568.FarmCPU.snh_al25,5.185E-24,0.526243719,1,0.804849688
Chr05_795564670.FarmCPU.snh_al25,7.48022E-14,0.713987346,1,0.862505733
Chr05_801680734.FarmCPU.snh_ks25,4.47659E-08,5.16937E-11,0.844919582,0.001192536
Chr05_831132026.BLINK.ray_floret_count_ks25,2.25069E-15,8.7552E-17,1,0.000456988
Chr05_831132026.FarmCPU.ray_floret_count_ks25,3.79352E-12,3.86521E-12,1,0.001047867
Chr05_854799713.BLINK.ray_floret_count_ks24,1.99767E-09,3.52982E-05,0.17177402,0.177634076
Chr06_182078332.BLINK.sm_comb,2.83716E-08,0.000138381,0.000319409,1
Chr06_186339353.FarmCPU.snh_al25,3.02385E-09,0.772351973,0.039629586,0.745293614
Chr06_274305900.FarmCPU.ai_summer_mean,1.2544E-14,0.01984729,1.2544E-14,NA
Chr06_274305900.BLINK.ai_summer_mean,5.18447E-10,0.111760148,5.18447E-10,NA
Chr06_429804675.FarmCPU.rd_al25,9.72729E-10,0.211856426,0.000183632,0.083423473
Chr06_46482445.FarmCPU.snh_ks25,2.60363E-09,0.027175501,0.36208473,0.264277268
Chr06_569475082.BLINK.snh_al25,1.63913E-08,0.045785373,0.633943586,0.573749857
Chr06_571797272.BLINK.hit_og,6.69399E-09,0.017640445,6.69399E-09,NA
Chr06_661364398.BLINK.hit_og,3.13163E-11,3.5446E-06,3.13163E-11,NA
Chr06_685951212.BLINK.hit_og,3.22827E-09,0.007401878,3.22827E-09,NA
Chr07_202908763.BLINK.snh_ks25,5.77748E-11,0.000179111,0.004189741,0.840226158
Chr07_293128097.BLINK.ray_floret_count_ks24,2.27468E-08,0.186250239,0.665258867,0.006382279
Chr07_293287816.FarmCPU.ray_floret_count_al24,8.19537E-15,6.62986E-13,0.000933267,0.002004969
Chr07_476853597.FarmCPU.hit_og,1.27268E-19,0.001643754,1.27268E-19,NA
Chr07_5430076.FarmCPU.snh_comb,3.3412E-08,0.131999343,0.228297641,0.020795819
Chr07_643306799.BLINK.ray_floret_count_ks24,8.42923E-10,0.00026334,0.000595409,0.080413365
Chr07_90686314.BLINK.snh_al25,3.67778E-15,0.012828772,0.012076019,0.335427765
