SNP_model_trait_env,N_full_population,N_S.integrifolium_genets,N_wild_genets,N_breeding_genets
Chr03_234249995.FarmCPU.ray_floret_count_al25,196,165,147,44
Chr03_256618987.BLINK.ray_floret_count_al25,196,165,147,44
Chr03_337313571.FarmCPU.sm_ks24,198,171,154,41
Chr03_457678.BLINK.snh_al25,194,163,146,44
Chr03_702124052.BLINK.ray_floret_count_ks25,206,180,163,40
Chr03_721440854.BLINK.ray_floret_count_al25,196,165,147,44
Chr03_721440854.FarmCPU.rd_ks25,199,173,159,37
Chr03_78530134.FarmCPU.hit_og,183,156,183,NA
Chr03_78530134.BLINK.hit_og,183,156,183,NA
Chr03_814672955.BLINK.ray_floret_count_ks25,206,180,163,40
Chr03_856961603.FarmCPU.hit_og,183,156,183,NA
Chr03_910576785.BLINK.snh_comb,225,192,176,45
Chr03_910576785.FarmCPU.snh_comb,225,192,176,45
Chr03_998822908.FarmCPU.sm_comb,232,199,182,46
Chr04_1010273843.BLINK.snh_comb,225,192,176,45
Chr04_108260603.FarmCPU.ray_floret_count_comb,230,197,179,46
Chr04_208177669.FarmCPU.rd_al25,194,163,146,44
Chr04_222292225.BLINK.ray_floret_count_ks25,206,180,163,40
Chr04_222292225.FarmCPU.ray_floret_count_ks25,206,180,163,40
Chr04_266394599.BLINK.ray_floret_count_ks24,190,167,147,41
Chr04_341562.FarmCPU.snh_comb,225,192,176,45
Chr04_405945275.BLINK.sm_comb,232,199,182,46
Chr04_465886973.FarmCPU.ray_floret_count_ks24,190,167,147,41
Chr04_603756119.BLINK.snh_ks25,198,172,158,37
Chr04_603756119.FarmCPU.snh_ks25,198,172,158,37
Chr04_616374005.BLINK.snh_al25,194,163,146,44
Chr04_657063542.FarmCPU.sm_ks24,198,171,154,41
Chr04_682976094.FarmCPU.rd_ks25,199,173,159,37
Chr04_798558325.BLINK.snh_ks25,198,172,158,37
Chr04_838966155.FarmCPU.ray_floret_count_comb,230,197,179,46
Chr04_888202955.FarmCPU.ray_floret_count_al25,196,165,147,44
Chr05_11691107.FarmCPU.ray_floret_count_comb,230,197,179,46
Chr05_11691107.BLINK.ray_floret_count_comb,230,197,179,46
Chr05_293741746.FarmCPU.rd_ks25,199,173,159,37
Chr05_348252932.BLINK.snh_comb,225,192,176,45
Chr05_348252932.FarmCPU.snh_comb,225,192,176,45
Chr05_376377626.BLINK.snh_al25,194,163,146,44
Chr05_377296916.BLINK.ray_floret_count_ks24,190,167,147,41
Chr05_577112303.BLINK.snh_ks25,198,172,158,37
Chr05_794020568.FarmCPU.ray_floret_count_al25,196,165,147,44
Chr05_794020568.BLINK.ray_floret_count_al25,196,165,147,44
Chr05_794020568.FarmCPU.snh_al25,194,163,146,44
Chr05_795564670.FarmCPU.snh_al25,194,163,146,44
Chr05_801680734.FarmCPU.snh_ks25,198,172,158,37
Chr05_831132026.BLINK.ray_floret_count_ks25,206,180,163,40
Chr05_831132026.FarmCPU.ray_floret_count_ks25,206,180,163,40
Chr05_854799713.BLINK.ray_floret_count_ks24,190,167,147,41
Chr06_182078332.BLINK.sm_comb,232,199,182,46
Chr06_186339353.FarmCPU.snh_al25,194,163,146,44
Chr06_274305900.FarmCPU.ai_summer_mean,183,156,183,NA
Chr06_274305900.BLINK.ai_summer_mean,183,156,183,NA
Chr06_429804675.FarmCPU.rd_al25,194,163,146,44
Chr06_46482445.FarmCPU.snh_ks25,198,172,158,37
Chr06_569475082.BLINK.snh_al25,194,163,146,44
Chr06_571797272.BLINK.hit_og,183,156,183,NA
Chr06_661364398.BLINK.hit_og,183,156,183,NA
Chr06_685951212.BLINK.hit_og,183,156,183,NA
Chr07_202908763.BLINK.snh_ks25,198,172,158,37
Chr07_293128097.BLINK.ray_floret_count_ks24,190,167,147,41
Chr07_293287816.FarmCPU.ray_floret_count_al24,91,73,69,21
Chr07_476853597.FarmCPU.hit_og,183,156,183,NA
Chr07_5430076.FarmCPU.snh_comb,225,192,176,45
Chr07_643306799.BLINK.ray_floret_count_ks24,190,167,147,41
Chr07_90686314.BLINK.snh_al25,194,163,146,44
